spørsmål,svar,kommunenavn
Hvor mange parkeringsplasser må tilrettelegges for funksjonshemmede i et parkeringsanlegg i Elverum?,Minimum 3 % av parkeringsplassene må tilrettelegges for funksjonshemmede i et parkeringsanlegg i Elverum.,Elverum
Hva er kravene for sykkelparkering i forhold til inngangspartiet på bakkeplan i planbestemmelsene?,"Sykkelparkering skal løses på egen grunn og skal ligge hensiktsmessig i forhold til inngangspartiet på bakkeplan, evt. i egen låsbar bod.",Elverum
Hvilke krav gjelder for parkering for beboere og ansatte i sentrumsformål og kjøpesenterområder i planbestemmelsene?,Parkering for beboere og ansatte skal sikres i egen parkeringskjeller innenfor byggeområdet.,Elverum
Hva er retningslinjene for plassering av parkeringsanlegg i forhold til hovedgater og plasser i Elverum?,"Parkanlegg tillates ikke eksponert i fasaden mot hovedgater eller plasser som Storgata, Lundgaardvegen, Elvarheimparken og Elverum torg. Boligparkering skal løses på egen grunn, under bakken eller under lokk i bebyggelsen. Ved reguleringsplan kan dette løses i fellesanlegg som legger til rette for sambruk, eller tillates etablert i tilliggende byggeområder hvis det anses hensiktsmessig.",Elverum
Hva er hovedprinsippene som gjelder ved ny bebyggelse og/eller større ombygginger/rehabiliteringer i kommunen?,Ved ny bebyggelse og/eller større ombygginger/rehabiliteringer gjelder følgende hovedprinsipper,Elverum
Hva er tillatt håndtering av overvann i kommunen ifølge planbestemmelsene?,"Overvann skal håndteres lokalt, dvs. på egen grunn ved infiltrasjon og fordrøyning eller på annen måte.",Elverum
Hva må man ta hensyn til når det gjelder overvannshåndtering ved fortetting og planlegging av nye bebyggelsesområder i kommunen?,"Ved fortetting og planlegging av nye bebyggelsesområder i kommunen må man vie ekstra oppmerksomhet til overvannshåndtering. Bruk av gater, veier, parkeringsplasser, grøntområder og overflatebassenger til fordrøyning på overflaten skal utredes.",Elverum
Hva er retningslinjene for behandling av støy i arealplanlegging i planområdet?,Miljøverndepartementets til enhver tid gjeldende retningslinje for behandling av støy i arealplanlegging (p.t. T-1442) legges til grunn for all planlegging og byggesaksbehandling i planområdet.,Elverum
Hva er kravene til støynivået utenfor vinduer på boligen og på uteområder i avvikssonen?,Ved søknad om tillatelse til bygging av boliger i avvikssonen skal det følge med en støyfaglig utredning som viser støynivået utenfor vinduer på boligen og på uteområder. Beregningene skal vise støynivå med støyskjermingstiltak og støynivå uten støyskjermingstiltak. Det må dokumenteres at krav til innendørs støynivå oppfylles.,Elverum
Hva er kriteriene for å tillate nye boenheter i områder med gul støysone?,I områder med gul støysone skal det gjøres en konkret vurdering av om en kan tillate nye tiltak.,Elverum
Hva er retningslinjene for støytiltak langs kommunale og private veier i kommunen?,"Støytiltak langs kommunale og private veier skal tilstrebes uten skjerm/vold, men der det må etableres skjerm skal dette gjøres med en helhetlig utforming. Bygningers plassering kan benyttes som lokal skjerming for utearealer, og skjerm/vold må ikke komme i konflikt med vegnorm m.t.p. tilstrekkelig grøftearealer, drift- og vegvedlikehold.",Elverum
Hva sier plan- og bygningsloven om luftkvalitet i forbindelse med planlegging av tiltak?,Plan- og bygningsloven sier at alle tiltak skal planlegges slik at luftkvaliteten innendørs og utendørs blir tilfredsstillende i henhold til den gjeldende retningslinjen for behandling av luftkvalitet i arealplanlegging.,Elverum
Hva er kravene til estetisk utforming av ny bebyggelse i Elverum?,"Ny bebyggelse i Elverum skal ha god estetisk utforming, komplettere eksisterende bebyggelse og tilpasses bygningsmiljøet med dimensjonering, fasadeoppdeling, byggedybde, takform og materialvalg tilsvarende typiske elementer i det området nybyggingen skjer.",Elverum
Hva sier planbestemmelsene om eksisterende baldakiner i bykjernen?,"Planbestemmelsene sier at eksisterende baldakiner anses som et fremmedelement i forhold til bygningsfasader og skal ikke legges til grunn ved utforming av nybygg, og bør ved endring av eksisterende bygg gis en bedre funksjon og estetisk løsning med integrering i bygningsfasaden.",Elverum
Hva er reglene for balkonger i områder for sentrumsformål og forretninger i kommunen?,"Balkonger for sikring av uteareal for boliger kan tillates utkraget 1,0 meter ut fra veggliv høyere enn 1. etasjenivå når det er forsvarlig utfra estetiske krav, brannsikring og andre viktige hensyn. Fri høyde under balkonger til fortausnivå skal være min. 4 meter.",Elverum
"Hva er hovedregelen for byggelinjen i kommunedelplanen, og hvordan kan eventuelle avvik fastlegges?",Hovedregelen er at byggelinjen er sammenfallende med kommunedelplanens grense for byggeområdet. Eventuelle avvik vedrørende byggelinje eller plassering av byggegrense fastlegges gjennom reguleringsplan.,Elverum
Hva er formålet med å utligne høydeforskjeller mellom fortau og 1. etasjeplan innenfor byggeområdet?,Formålet med å utligne høydeforskjeller mellom fortau og 1. etasjeplan innenfor byggeområdet er for å sikre tilgjengelighet for alle.,Elverum
"Hva er den anbefalte byggehøyden innenfor kommunedelplanen, og hvilken gesimshøyde er maksimalt tillatt?","Innenfor kommunedelplanen skal det tilstrebes en variert byggehøyde med 2 - 6 etasjer, og maksimalt tillatt gesimshøyde er 21 meter over gjennomsnittlig terreng/gatenivå.",Elverum
Hvilke faktorer skal det legges vekt på ved vurdering av byggehøyder i planområdet?,"Ved vurdering av byggehøyder i planområdet skal det legges vekt på estetiske kvaliteter, solforhold, landskapsilhuett og lokalklimatiske forhold.",Elverum
Hva må dokumenteres ved utarbeidelse av reguleringsplan når det gjelder bygningers høyde og volum?,"Ved utarbeidelse av reguleringsplan må bygningers høyde og volum dokumenteres sammen med hvilke nye strukturerende og identitetsskapende element utbyggingen tilfører byen. Det skal utarbeides volumstudier, fotomontasjer o.l. som dokumenterer høyde på ny bebyggelse sett i relasjon til omgivelsene, landskapet, nabobebyggelse, gater og plasser, samt fjernvirkning og landskapsilhuett.",Elverum
Kan det tillates næringsvirksomhet innenfor byggeområde B8 i tillegg til boligbebyggelse?,"Ja, innenfor byggeområde B8 kan det tillates næringsvirksomhet som kontor, tjenesteyting og bevertning, forutsatt at det tas hensyn til bevaring av kulturmiljøet.",Elverum
Hvilke typer virksomheter er tillatt i områder for sentrumsformål i kommunen?,"Områder for sentrumsformål tillater forretninger, tjenesteyting, boligbebyggelse, kontor, hotell/overnatting og bevertning, samt nødvendig grøntareal til bebyggelsen.",Elverum
Kan det tillates etablering av forretninger for plasskrevende varer i området?,"Nei, det tillates ikke etablert forretninger for plasskrevende varer i området.",Elverum
Kan det tillates etablering av forretninger for plasskrevende varer i området beskrevet i dokumentet?,"Nei, det tillates ikke etablert forretninger for plasskrevende varer i områdene beskrevet.",Elverum
Hva er formålet med bestemmelsen som forbyr etablering av bensinstasjoner og forretninger for motorkjøretøyer i området?,"Formålet med bestemmelsen er å begrense etableringen av bensinstasjoner og forretninger for motorkjøretøyer for å sikre at området primært brukes til andre typer virksomheter, som forretningsformål og kjøpesentre.",Elverum
Hvilke typer bygninger tillates oppført i områdene ifølge planbestemmelsene?,"I områdene tillates oppført bygninger for forretning (detaljvarehandel), herunder også post, bank, apotek, herberger, bevertningssteder o.l., med tilhørende kontorer. I tillegg tillates annen forretningsmessig servicevirksomhet, herunder kontorer for forsikring, lege, tannlege, fysioterapeut o.l.",Elverum
Hvilke typer virksomheter regnes som kjøpesenter i Elverum kommune ifølge planbestemmelsene?,"I Elverum kommune regnes detaljhandel i bygningsmessige enheter, bygningskomplekser, dagligvareforretninger, varehus og handelsvirksomhet lokalisert i flere enheter innenfor et område som kjøpesenter.",Elverum
Hvilke formål kan områdene i Leiret nyttes til ifølge planbestemmelsene?,"Områdene i Leiret kan nyttes til forretningsformål, kontor, bolig, tjenesteyting og forretningsmessig servicevirksomhet.",Elverum
"Kan det tillates boliger i 1. etasje og underetasje hvis bebyggelsen ikke vender mot Storgata, Lundgaardvegen eller Rådhusplassen?","Ja, det kan tillates boliger i 1. etasje og underetasje dersom dette er mulig ut fra krav til godt bomiljø.",Elverum
Hvilke typer bygninger tillates oppført i områdene i henhold til planbestemmelsene?,"I områdene tillates oppført bygninger for forretning (detaljvarehandel), herunder også post, bank, apotek, herberger, bevertningssteder o.l., med tilhørende kontorer. I tillegg tillates bolig og annen forretningsmessig servicevirksomhet, herunder kontorer for forsikring, lege, tannlege, fysioterapeut o.l.",Elverum
Hva er formålet med områdene som skal nyttes til bygninger for privat eller offentlig tjenesteyting i kommunen?,"Områdene skal nyttes til bygninger for privat eller offentlig tjenesteyting, som kan være kirke, sykehus, skoler, institusjoner, kulturformidling og administrasjon.",Elverum
Hva er kravene til varelevering i forhold til planbestemmelsene i Leiret?,"Planbestemmelsene i Leiret krever at det skal være tilfredsstillende mulighet for varelevering, samtidig som varelevering ikke skal være til unødig ulempe for bruken av gatene og fortauene.",Elverum
Hva må en reguleringsplan vise for gater beliggende inntil byggeområder med plankrav?,"En reguleringsplan skal vise fordeling av kjørefelt, parkering, rabatter for beplantning/snøopplag, trafikkskilt/belysning og fortau eller separat gang-/sykkelveg.",Elverum
"Hva innebærer det at alle byrom, torg og plasser skal opparbeides bymessig for aktiviteter og eventuell handel i Elverum?","Det innebærer at områdene skal gjøres attraktive for ferdsel og opphold ved å fokusere på kvalitet ved valg av belegning, belysning, beplantning og møblering i tråd med Gatebruksplanen.",Elverum
Hva slags aktiviteter kan tillates på Rådhusplassen i forhold til salg og servering?,"Mindre bygninger i tilknytning til midlertidig eller sesongvis salgs- og messeaktivitet, servering o.l. kan tillates oppført på Rådhusplassen.",Elverum
"Hva menes med ""gangkorridorer gjennom kvartaler"" og hvordan vil de påvirke tilgjengeligheten i området?","Gangkorridorer gjennom kvartaler er ikke ment som fullverdige gang- og sykkelveger, men som åpninger gjennom kvartalene og muligheter for ""innsmett"". Det må vurderes nærmere ved detaljplanlegging om åpningene skal være åpne i full høyde eller om det er tilstrekkelig med muligheter for gjennomgang.",Elverum
Hva er formålet med Galgeberget park og Elveparken i planbestemmelsene?,"Galgeberget park og Elveparken skal være naturparker som gjøres tjenlig til rekreasjonsformål, inkludert turgåing og lekeaktiviteter.",Elverum
Hva er tillatt å oppføre i friområdene i henhold til planbestemmelsene?,"Mindre tiltak som hører naturlig med til, og ikke hindrer bruken av friområdene, kan tillates oppført.",Elverum
Hva er avstandskravene for byggegrenser langs vassdrag i planen?,Avstandskravene gjelder ikke for områder hvor arealbruk og byggegrenser mot vassdrag er avklart i reguleringsplan.,Elverum
Hvor langt unna Glomma med sidevassdrag må tiltak etter pbl § 20-1 settes i verk?,Tiltak etter pbl § 20-1 kan ikke settes i verk nærmere vassdrag enn 100 meter langs Glomma med sidevassdrag.,Elverum
Hva kreves det av utredning når det gjelder flomfare ved prosjektering av nye tiltak langs vassdrag i Elverum kommune?,"Det kreves fagkyndig utredning av flomfare ved prosjektering av nye tiltak langs vassdrag, som vist i hensynssone for flomfare i temakart for flomfare. Utredningen skal gi grunnlag for å vurdere om tiltaket er forsvarlig, og behovet for forebyggende sikringstiltak.",Elverum
Hvilke konkrete tiltak har kommunen satt i verk for å forebygge flom i områder som ikke er kartlagt på forhånd?,"Kommunen har implementert planbestemmelser og planreguleringer som tar hensyn til flomfare i alle flomutsatte områder, uavhengig av kartlegging på forhånd.",Elverum
"Hva er hensikten med å vurdere flomfare i andre områder, selv om flomfaren ikke er kartlagt på forhånd?","Vurdering av flomfare gjelder også i andre flomutsatte områder, uavhengig av om flomfaren er kartlagt på forhånd.",Elverum
Hva er formålet med sonen for båndlegging som er beskrevet i planbestemmelsene?,Formålet med sonen for båndlegging er å bevare kulturhistorisk verdifull bebyggelse fra gjenreisningsbebyggelsen som er registrert i Riksantikvarens NB-register for kulturhistorisk bymiljø av nasjonal interesse.,Elverum
Hva er formålet med sonen for båndlegging i kommunen?,"Formålet med sonen for båndlegging er å bevare kulturhistorisk verdifull bebyggelse, spesielt gjenreisningsbebyggelse fra Riksantikvarens NB-register for kulturhistorisk bymiljø av nasjonal interesse.",Elverum
Hva er hovedfokuset når det gjelder bygningsmessige tiltak i bymiljøet ifølge planbestemmelsene?,"Bygningsmessige tiltak skal innordne seg eksisterende bystruktur, og gjenreisningsarkitekturen skal utgjøre hovedtrekk i bymiljøet. Gater, plasser og bygningsmiljøer med utgangspunkt i denne historiske perioden skal fortsatt være lesbart som en planlagt helhetlig utbygging og danne rammen for videre utvikling.",Elverum
Hva skjer hvis eldre elementer går tapt på grunn av brann eller annen skade i kommunen?,"Hvis båndlagt bebyggelse går tapt på grunn av brann eller annen skade, tillates det oppført bebyggelse med samme plassering, dimensjoner, høyder, hovedform og med en fasadeutforming som er tilpasset kulturmiljøet. Bebyggelsen tillates bare ombygd eller utbedret under forutsetning av at eksteriøret beholdes uendret eller føres tilbake til dokumentert tidligere utseende.",Elverum
Hva skjer hvis eldre elementer går tapt på grunn av brann eller annen skade i kommunen?,"Hvis båndlagt bebyggelse går tapt på grunn av brann eller annen skade, tillates det oppført bebyggelse med samme plassering, dimensjoner, høyder, hovedform og med en fasadeutforming som er tilpasset kulturmiljøet. Bebyggelsen tillates bare ombygd eller utbedret under forutsetning av at eksteriøret beholdes uendret eller føres tilbake til dokumentert tidligere utseende.",Elverum
Hva betyr det at bebyggelse skal følge byggelinje mot gate i planbestemmelsene?,I planbestemmelsene betyr det at bygninger skal plasseres langs en bestemt linje i forhold til gaten for å skape en enhetlig og ryddig gatefasade.,Elverum
Hva er reglene angående etablering av nye eller utvidelse av balkonger mot gaten i Elverum kommune?,Det er ikke tillatt å etablere nye eller å utvide balkonger mot gate i Elverum kommune.,Elverum
Hva er reglene angående etablering av nye eller utvidelse av balkonger mot gaten i Elverum kommune?,Det er ikke tillatt å etablere nye eller å utvide balkonger mot gate i Elverum kommune.,Elverum
Hva er reglene angående endringer og tilbygg på gjenreisningsbebyggelse fra perioden 1940-1959 i kommunen?,"Gjenreisningsbebyggelse fra perioden 1940-1959 tillates ikke revet, fjernet, påbygget eller tilbygget. Bygningenes eksteriør og bærende konstruksjoner skal bevares uendret eller føres tilbake til opprinnelig/eldre utførelse i tråd med dokumentasjon. Mindre endringer/tiltak kan unntaksvis tillates etter vurdering, dersom det ikke går på bekostning av byggets kulturminnefaglige og estetiske verdier.",Elverum
Hva er den maksimale tillatte kotehøyden for påbygg/tilbygg på Storgata 14?,Den maksimale tillatte kotehøyden for påbygg/tilbygg på Storgata 14 er 199.,Elverum
Hva betyr det at bebyggelse og anlegg er fredet i hensynssonene H730 i Leiret?,"Det betyr at det ikke er tillatt å sette i gang tiltak som kan skade, ødelegge eller utilbørlig skjemme kulturminnene som er fredet etter Kulturminneloven i disse sonene.",Elverum
Hva er kravene til utskifting av originale elementer på eksisterende bebyggelse i kommunen?,Utskifting av originale elementer som ikke lar seg utbedre eller reparere skal erstattes med eksakte kopier både i form og materiale.,Elverum
Hva er kravene til håndverksmessig kvalitet på bebyggelse og anlegg i kommunen?,Det stilles krav til høy håndverksmessig kvalitet på alt som skal utføres på bebyggelse og anlegg i kommunen.,Elverum
Hva er formålet med Kystsoneplanen for Kvænangen kommune?,Formålet med Kystsoneplanen for Kvænangen kommune er å være et styringsverktøy som skal gi forutsigbarhet og langsiktighet i arealbruken av kommunens sjøarealer.,Kvanangen
Hva er formålet med planen som beskrives i dokumentet?,"Formålet med planen er å sikre en balansert arealbruk mellom fiske, akvakultur, ferdsel, fritidsbruk og samtidig ivareta miljøinteresser.",Kvanangen
Hva er hensikten med å vise tidligere vedtatte regulerings- og bebyggelsesplaner på plankartet i forbindelse med vedtak av kystsone-planen?,"Hensikten med å vise tidligere vedtatte regulerings- og bebyggelsesplaner på plankartet er å vise hvilke planer som fortsatt gjelder etter vedtaket av kystsone-planen, spesifikt for arealbruk i sjø.",Kvanangen
Hva er formålet med reguleringsplanen for Kjækan hyttefelt og småbåthavn?,Formålet med reguleringsplanen for Kjækan hyttefelt og småbåthavn er å regulere arealene for å tilrettelegge for utbygging av hytter og en småbåthavn i området.,Kvanangen
Hva er kravet for å få samtykke fra kulturminnemyndighetene ved utarbeidelse av nye regulerings- eller detaljplaner?,Ved utarbeidelse av nye regulerings- eller detaljplaner skal det foreligge samtykke fra kulturminnemyndighetene (Troms fylkeskommune og Sametinget) før endelig vedtak av reguleringsplan.,Kvanangen
Hvilke typer aktiviteter er tillatt i LNFR-områder i planområdet?,"LNFR-områder i planområdet omfatter områder som skal brukes og sikres for landbruksproduksjon, herunder jordbruk, skogbruk og reindrift, og/eller som skal bli liggende som naturområder og områder for friluftsliv.",Kvanangen
Hva er plankravet for området i Nordbotten som inkluderer Naturområdet N3 i sjø samt LNFR-området?,Plankravet for området i Nordbotten inkluderer Naturområdet N3 i sjø samt LNFR-området.,Kvanangen
Hva er kravene for plassering av flytende deler av akvakulturanlegg i forhold til hvit lyktesektor?,"Flytende deler av akvakulturanlegg tillates ikke å plasseres i hvit lyktesektor, og fortøyninger i forbindelse med anlegg må være på minimum 11 meter i hvit lyktesektor.",Kvanangen
Hva er de spesifikke områdene som er avsatt til akvakultur i kommunen?,"De områdene som er avsatt til akvakultur i kommunen er A1 Karvika, A2 Rakkenes, A3 Nøkelhamn, A4 Fjellbukta, A5 Hjellberget, A6 Dingalneset, A7 Svartberget, A8 Havnebukt Ytre og A9 Hjelnes.",Kvanangen
Hvilke krav er det til hvordan anleggenes opphalertau skal være plassert?,Anleggenes opphalertau skal trekkes inn til anleggets rammefortøyninger.,Kvanangen
Hva er restriksjonene når det gjelder oppdrett av marine fiskearter innenfor akvakulturområdene?,Oppdrett av marine fiskearter tillates ikke innenfor akvakulturområdene.,Kvanangen
Hva må gjøres dersom aktører ønsker å benytte hvit sektor for flytende deler av akvakulturanlegg i kommunen?,"Dersom aktører ønsker å benytte hvit sektor for flytende deler av akvakulturanlegg i kommunen, må lykta omskjermes, og det er tiltakshaver som bærer disse kostnadene. Kystverket må gjøre en vurdering i hvert enkelt tilfelle om dette kan tillates.",Kvanangen
Hva er kravene for å sette i verk tiltak i områdene S1 og S2 som er avsatt til småbåthavn?,For områdene S1 og S2 kan det ikke settes i verk tiltak før området inngår i detaljreguleringsplan.,Kvanangen
Hva er betingelsene for områder avsatt til kombinert formål FFNF i planbestemmelsene?,I områder avsatt til kombinert formål FFNF er akvakultur ikke tillatt.,Kvanangen
Kan det gjennomføres tiltak innenfor området som er i konflikt med formålene som er henvist til i retningslinjene?,"Nei, innenfor området kan det ikke gjennomføres tiltak som er i konflikt med de formål det er henvist til i retningslinjene.",Kvanangen
Hvilken status har området Sørfjorden-Kvænangen ut til Sørstraumen?,Området Sørfjorden-Kvænangen ut til Sørstraumen har status som nasjonal laksefjord.,Kvanangen
Er akvakultur tillatt i områder avsatt til fiskeområde?,"Nei, i områder avsatt til fiskeområde er akvakultur ikke tillatt.",Kvanangen
Hva er prosessen for å få godkjent plassering og utforming av en flytebrygge i havnene på Spildra og i Badderen?,Lokal havnemyndighet etter Havne- og farvannsloven må godkjenne plassering og utforming av flytebryggene i havnene på Spildra og i Badderen.,Kvanangen
Hva er betingelsene for å tillate akvakultur i områder avsatt til fiske/låssetting i kommunen?,Akvakultur er ikke tillatt i områder avsatt til fiske/låssetting i kommunen.,Kvanangen
Hva er tillatt innenfor område N3 etter godkjent detaljreguleringsplan?,Tekniske inngrep kan tillates innenfor område N3 etter godkjent detaljreguleringsplan.,Kvanangen
Hva er betingelsene for å tilrettelegge områdene avsatt til friluftsområder i sjø for allmennheten?,"Områdene avsatt til friluftsområder i sjø kan tilrettelegges for allmennheten i samråd med plan- og bygningsmyndigheten, men det tillates ingen tiltak og inngrep som kan forringe eksisterende tilstand og verdi.",Kvanangen
Hva sier planbestemmelsene om vedlikehold og restaurering av eksisterende infrastruktur og båtutsett innenfor FRI 3-området?,"Planbestemmelsene tillater vedlikehold og restaurering av eksisterende infrastruktur og båtutsett innenfor FRI 3-området etter behov, i samsvar med Plan- og bygningsloven § 11-11, pkt. 3.",Kvanangen
Hva må man gjøre hvis man ønsker å endre plasseringen av et akvakulturanlegg innenfor forvaltningsområdet for farled?,"Endret plassering av akvakulturanlegg innenfor forvaltningsområdet for farled må godkjennes etter Havne- og farvannsloven, der Kystverket er ansvarlig myndighet.",Kvanangen
Hva er formålet med hensynssonene for reindrift som er nevnt i dokumentet?,Formålet med hensynssonene for reindrift er å sikre at det ikke gjennomføres tiltak eller utøves virksomhet som vil kunne være til hinder for reindriftas aktiviteter innenfor de angitte områdene.,Kvanangen
Hva betyr det at det er krav om felles planlegging i området Nordbotten?,Det betyr at det forutsettes utarbeidet en detaljreguleringsplan for området Nordbotten.,Kvanangen
Hva er formålet med området N3 og tilstøtende LNFR-område i Nordbotten?,"Område N3 må ses i sammenheng med tilstøtende landområde avsatt til landbruks, natur og friluftsområde samt reindrift (LNFR-område) i Nordbotten. Det er stilt felles krav til utarbeidelse av detaljreguleringsplan for området.",Kvanangen
Hva er datoen for godkjenningen av reguleringsplanen for Brattåslia?,Reguleringsplanen for Brattåslia ble godkjent av Bystyret den 13.06.19 i sak 49/19.,Porsgrunn
Hva er formålet med reguleringsplanen som er beskrevet i dokumentet?,Hensikten med planarbeidet er å tilrettelegge for boligutvikling med tett boligbebyggelse med høy utnyttelsesgrad og gode bokvaliteter.,Porsgrunn
Hva er formålet med sikringssonen Frisikt i planbestemmelsene?,Formålet med sikringssonen Frisikt er å sikre god sikt og trygg ferdsel i området.,Porsgrunn
Hvilke krav må være oppfylt før det gis midlertidig brukstillatelse eller ferdigattest for et tiltak?,"Før det gis midlertidig brukstillatelse eller ferdigattest skal det foreligge utomhusplan, godkjente tekniske planer og grunnundersøkelser/prøvegraving som grunnlag for geoteknisk prosjektering.",Porsgrunn
Hva er kravene for opparbeidelse av felles lekeplass og kvartalslekeplass i kommunen?,"Kravene for opparbeidelse av felles lekeplass og kvartalslekeplass inkluderer å utbedre fotballbanen til en femmerbane, gi nytt toppdekke med egnede grusfraksjoner, installere nye fotballmål og ballnett rundt banen, samt dokumentere tilfredsstillende bærelag for å unngå fremtidige setninger og vannansamlinger.",Porsgrunn
Hva er kravene til utomhusplanen i forbindelse med opparbeidelse av tursti og tilhørende infrastruktur?,"Utomhusplanen skal utarbeides i målestokk 1:500 eller bedre og vise husplassering, garasje, innkjøring, opparbeidelse av uteareal med faste dekker, lekeplass, biloppstillingsplasser, trapper, terrengmurer og terrengbearbeiding.",Porsgrunn
Hva må inkluderes i den tekniske planen som skal utarbeides for opparbeidelse av privat adkomstvei?,"Den tekniske planen må inkludere opparbeidelse av privat adkomstvei, forstøtningsmurer, vann- og avløpsledninger, strømforsyning, annen teknisk infrastruktur og belysning.",Porsgrunn
Hvilke retningslinjer skal følges når det gjelder støy i arealplanlegging i kommunen?,"Støy skal følge anbefalingene i Miljøverndepartementet sine Retningslinjer for håndtering av støy i arealplanlegging, T-1442.",Porsgrunn
Hva er kravene til universell utforming ved planlegging og gjennomføring av tiltak i kommunen?,"Ved planlegging, utbygging og gjennomføring av tiltak i kommunen skal det sikres god tilgjengelighet for alle befolkningsgrupper, herunder bevegelseshemmede, orienteringshemmede og miljøhemmede. Bygninger og anlegg skal utformes slik at de kan brukes på like vilkår av så stor del av befolkningen som mulig.",Porsgrunn
Hva er retningslinjene for terrenginngrep i kommunen?,"Ved terrenginngrep skal overgangen til eksisterende terreng tilpasses på en god måte slik at området opparbeides med et helhetlig landskapsuttrykk. Skråninger skal ikke være brattere enn 1:2, og det er ikke tillatt med murer eller oppfylling i overgang mot naturområder.",Porsgrunn
Hva er formålet med å benytte forstøtningsmurer i uteområder i kommunen?,Forstøtningsmurer skal benyttes der det er nødvendig for å få funksjonelle uteområder og skal sikre en landskapsmessig helhet i sammenheng med bebyggelsen.,Porsgrunn
Hva er kravene til håndtering av overvann i forbindelse med ny bebyggelse i kommunen?,"Terrenget må utformes slik at overvann føres på overflaten til overvannsgrøfter eller andre arealer tilrettelagt for avledning av overvann. Ved fastsetting av høyde på gulv i ny bebyggelse, må denne settes så høyt at det oppnås naturlig fall fram til nærmeste overvannstrasé. Lokal overvannshåndtering skal legges til grunn for utforming av overvannsplan. Overvannshåndtering/ infiltrering i grunnen skal tilstrebes og gjenspeiles i grønnstrukturen i utomhusplanen.",Porsgrunn
Hva er regelen angående plassering av gjerder eller vegetasjon nær regulert vei når det gjelder snøopplag?,For å sikre rom for snøopplag kan det ikke føres opp gjerde eller plantes med vegetasjon nærmere regulert veg enn 1 m.,Porsgrunn
Hvilke krav gjelder for miljøvennlige alternative energikilder og løsninger ved planlegging og søknad om tiltak i bygg i kommunen?,"Ved planlegging og søknad om tiltak i bygg i kommunen skal miljøvennlige alternative energikilder og løsninger utredes. Det skal redegjøres for vurderingene som er gjort for å oppnå redusert energibruk, klimagassutslipp og bruk av alternative, fornybare energikilder.",Porsgrunn
Hva er hensikten med å legge boligbebyggelsen inn i terrenget og tilpasse den til landskapet?,"Hensikten med å legge boligbebyggelsen inn i terrenget og tilpasse den til landskapet er å styrke opplevelsen av at bygningene hører sammen med naturen rundt, gjennom riktig plassering, utnyttelsesgrad, volum og materialvalg.",Porsgrunn
Hva er kravene til takform og materiale for bygningene i kommunen?,Bygningene skal ha enhetlig takform og materiale som er matt i overflate og farge. Takterrasse er ikke tillatt.,Porsgrunn
Hva er den maksimale tillatte høyden på terreng ved byggets hovedetasje for områdene BKS 2 og BKS 3?,"For områdene BKS 2 er den maksimale høyden på terreng ved byggets hovedetasje kote 73,5, mens for BKS 3 er den kote 74,0.",Porsgrunn
Hva er den maksimale tillatte høyden på en mur i henhold til byggehøyde for BKS 3?,"Maksimalt tillatt byggehøyde på mur for BKS 3 er kote 74,0.",Porsgrunn
Hva er maksimal tillatt gesimshøyde for bygninger i planområdet?,"Maksimal gesimshøyde er 7m fra nytt gjennomsnittlig terreng, men kan være 9m fra laveste punkt på eksisterende terreng hvis det tillater å bygge underetasje innenfor boligområdet.",Porsgrunn
Hvor mange boliger må minimum etableres innenfor planområdet?,Det skal etableres minimum 15 boliger innenfor planområdet.,Porsgrunn
Hvilke kriterier skal lekeapparatene på BLK Lekeplassen oppfylle?,Lekeapparatene på BLK Lekeplassen skal opparbeides med lekeapparater som fremmer områdets funksjon som småbarnslekeplass for boligene i Brattåslia.,Porsgrunn
Hva er reglene for plassering av eventuelle bygninger til renovasjonsanlegg i boligområdet?,Eventuelle bygninger til renovasjonsanlegg kan plasseres inntil 2m fra regulert formålsgrense mot kommunal veg.,Porsgrunn
Hva slags tiltak skal vurderes for å sikre best mulig framkommelighet og tilgjengelighet for alle på den offentlig tilgjengelige turstien?,Avbøtende tiltak som f.eks. håndløpere skal vurderes for å sikre best mulig framkommelighet og tilgjengelighet for alle på turstien.,Porsgrunn
Hva er formålet med frisiktsonen i vegkryss og avkjørsler i henhold til planbestemmelsene?,"Formålet med frisiktsonen i vegkryss og avkjørsler er at det ikke skal forekomme sikthindringer høyere enn 0,5 m over tilstøtende vegers vegbanenivå.",Porsgrunn
Hva er formålet med hensynssonen nevnt i dokumentet?,"Formålet med hensynssonen er å ivareta naturverdier i området, fungere som en buffer mot tilgrensende område med naturverdier og være naturtomt. Eksisterende vegetasjon skal bevares, og det tillates ikke tiltak eller inngrep som kan påvirke tilgrensende truede naturverdier negativt. Fylling av hageavfall er heller ikke tillatt.",Porsgrunn
Hva er datoen for siste revisjon av planbeskrivelsen?,Siste revisjon av planbeskrivelsen ble gjort den 24.06.2022.,Brandhaugen
Hva er datoen for siste revisjon av planbeskrivelsen?,Siste revisjon av planbeskrivelsen var den 24.06.2022.,Brandhaugen
Hva er datoen for siste revisjon av planbeskrivelsen?,Siste revisjon av planbeskrivelsen var den 24.06.2022.,Brandhaugen
Hva er datoen for siste revisjon av planbeskrivelsen?,Siste revisjon av planbeskrivelsen var den 24.06.2022.,Brandhaugen
Hva er hensikten med den nye detaljreguleringsplanen for Brandhaugen hytteområde?,"Hensikten med den nye detaljreguleringsplanen for Brandhaugen hytteområde er å erstatte gjeldende detaljreguleringsplan for området, med plan-ID 5021_2011002, som trådte i kraft 20.06.2011.",Brandhaugen
